	34.3s : 203.0m/z	34.8s : 244.0m/z	38.2s : 360.2m/z	41.4s : 328.1m/z	47.5s : 294.1m/z	47.6s : 276.1m/z	72.3s : 328.1m/z	797.5s : 411.0m/z	906.9s : 485.1m/z	964.1s : 768.5m/z	972.3s : 124.0m/z	972.7s : 620.4m/z	1000.1s : 371.1m/z	1000.2s : 559.1m/z	1041.1s : 785.5m/z	1054.9s : 782.5m/z	1060.5s : 755.5m/z	1073.4s : 769.6m/z	1076.7s : 371.1m/z	1076.7s : 628.1m/z	1076.9s : 656.2m/z	1076.9s : 649.1m/z	1077.0s : 633.1m/z	34.3s : 203.053m/zA	34.8s : 244.079m/zA	38.2s : 360.213m/zA	41.4s : 328.139m/zA	47.5s : 294.155m/zA	47.6s : 276.144m/zA	72.3s : 328.139m/zA	797.5s : 411.094m/zA	906.9s : 485.113m/zA	964.1s : 768.503m/zA	972.3s : 124.087m/zA	972.7s : 620.493m/zA	1000.1s : 371.101m/zA	1000.2s : 559.131m/zA	1041.1s : 785.599m/zA	1054.9s : 782.519m/zA	1060.5s : 755.589m/zA	1073.4s : 769.605m/zA	1076.7s : 371.101m/zA	1076.7s : 628.194m/zA	1076.9s : 656.226m/zA	1076.9s : 649.123m/zA	1077.0s : 633.150m/zA	34.3s : 203.053m/zB	34.8s : 244.079m/zB	38.2s : 360.213m/zB	41.4s : 328.139m/zB	47.5s : 294.155m/zB	47.6s : 276.144m/zB	72.3s : 328.139m/zB	797.5s : 411.094m/zB	906.9s : 485.113m/zB	964.1s : 768.503m/zB	972.3s : 124.087m/zB	972.7s : 620.493m/zB	1000.1s : 371.101m/zB	1000.2s : 559.131m/zB	1041.1s : 785.599m/zB	1054.9s : 782.519m/zB	1060.5s : 755.589m/zB	1073.4s : 769.605m/zB	1076.7s : 371.101m/zB	1076.7s : 628.194m/zB	1076.9s : 656.226m/zB	1076.9s : 649.123m/zB	1077.0s : 633.150m/zB
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-100	0	0	0	192856	0	0	0	0	0	0	0	0	0	0	0	0	131907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-101	0	0	0	0	0	0	0	53863	123108	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735	0	0	0	0	0	0	0	86080.45872	169423.7395	47377.33939	80752.49121	35758.59973	89924.87261	262359.5493	0	106772.0658	151362.5562	806041.5082	0	0	157304.2729	0	410879.9668	0	0	0	0	0	0	0	95659.00124	209780.399	49369.92088	117117.0931	50162.19569	109440.8818	240889.5257	0	95013.42719	154510.7912	739961.5297	0	0	187748.5607	0	350894.4186
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-102	0	0	0	0	244502	124939	87174	80010	176649	0	0	0	132586	294054	56234	0	46051	238835	72438	127483	192848	40498	435657	0	0	0	0	276332.9744	135760.2908	107906.1727	133793.5784	299544.3458	0	0	0	208196.0944	436470.7002	83754.4341	0	84030.15093	325195.7289	123778.3667	146627.8234	330453.2728	56098.82041	715103.8976	0	0	0	0	270044.4593	231581.3576	157655.1078	138110.0532	187159.3172	0	0	0	233570.4883	333664.3227	82643.34533	0	46983.30665	378813.7144	108369.1304	156461.1973	290514.4822	68226.59636	819268.3058
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-103	469586	251906	161585	113763	254963	122061	0	92258	196240	0	0	0	131907	304436	96830	0	109582	395738	0	98527	156818	46774	407940	775740.7846	408835.2266	306352.484	225785.1068	399053.1686	198022.379	0	95135.86183	337653.4365	0	0	0	221342.875	479923.1183	126670.7298	0	177863.3188	397546.0911	0	169148.1759	190159.705	77589.90492	637728.6597	552851.0932	457288.5045	243273.2196	224476.526	262127.1101	213977.7155	0	178885.0348	272773.9884	0	0	0	217293.9783	373779.5446	130831.6504	0	151746.4154	528338.4433	0	188407.0905	241511.8712	59998.71865	414038.6349
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-104	402569	0	0	0	192856	100565	0	109969	227784	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679	411835.251	0	0	0	243704.7345	112262.6365	0	181156.8949	342368.7854	0	0	0	264645.6047	355856.5551	68358.73414	0	76375.83898	499312.5705	88858.18949	152847.7752	202936.9165	68399.29949	891486.5974	619558.1778	0	0	0	240330.9905	124099.8285	0	211454.4578	302614.6611	0	0	0	286931.7834	505896.8516	68069.42537	0	117518.0573	300760.0234	117908.2517	162395.3367	266291.0249	53035.97914	733655.9661
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-105	0	0	0	192856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-106	0	0	0	0	0	0	0	53863	123108	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735	0	0	0	0	0	0	0	66698.55812	139725.148	47223.22516	69377.39786	28531.97699	74182.51396	313841.3559	0	71227.31528	154773.3423	456712.1789	0	0	213809.5497	0	266562.7257	0	0	0	0	0	0	0	87750.31759	132348.5874	39549.76178	98685.78597	51123.24517	108966.8822	221827.4333	0	100985.4107	113210.0281	721208.5309	0	0	166309.4767	0	415331.6907
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-107	0	0	0	0	244502	124939	87174	80010	176649	0	0	0	132586	294054	56234	0	46051	238835	72438	127483	192848	40498	435657	0	0	0	0	293527.781	128856.8764	114986.6046	123264.8405	245633.2269	0	0	0	226076.3126	521019.523	81804.822	0	60819.08917	356202.3598	80855.31862	203048.4701	375078.1346	74686.30553	449919.3844	0	0	0	0	373469.3703	242198.4855	99698.66609	123326.0435	210755.4	0	0	0	222264.6094	396751.7422	111712.6322	0	57742.21182	377132.8329	140149.8943	180043.5493	336799.3723	70341.34503	474253.8777
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-108	469586	251906	161585	113763	254963	122061	0	92258	196240	0	0	0	131907	304436	96830	0	109582	395738	0	98527	156818	46774	407940	523994.1358	359139.358	268389.3107	155552.2083	371522.2736	151234.836	0	136576.4058	255955.732	0	0	0	185476.1913	304674.9756	104905.5038	0	172367.075	580202.5583	0	157188.6346	174812.934	68642.688	586985.585	780330.382	440757.1484	284633.7531	166663.8034	453497.1469	237971.314	0	102240.7193	383299.0771	0	0	0	217159.1966	438310.3861	166977.3709	0	118073.3627	502540.858	0	179514.1095	244307.6479	59190.17082	601895.6692
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-109	402569	0	0	0	192856	100565	0	109969	227784	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679	629618.8619	0	0	0	296112.6227	112765.208	0	165954.0685	294528.0747	0	0	0	182316.2381	504843.3976	128615.6354	0	67636.56089	280011.6756	82533.0583	238295.2856	313399.2576	62342.10497	477266.3867	463452.0062	0	0	0	354255.3219	154178.5601	0	169964.3153	327294.6854	0	0	0	214741.4892	595436.4216	72394.5921	0	111776.4633	465124.4558	87069.96085	174328.4214	281854.0311	46367.56203	747206.6269
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-110	0	0	0	192856	0	0	0	0	0	0	0	0	0	0	0	0	131907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-111	0	0	0	0	0	0	0	53863	123108	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735	0	0	0	0	0	0	0	88190.19443	152200.2515	53492.27185	71068.42906	42274.80298	108008.8253	324461.4041	0	95571.42655	159079.769	758493.5573	0	0	161216.0906	0	321309.1334	0	0	0	0	0	0	0	61010.24834	176788.2724	30967.02305	93887.30433	30506.87406	81801.13164	291732.5001	0	85271.16595	128332.4085	518619.0308	0	0	205394.8192	0	380794.1399
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-112	0	0	0	0	244502	124939	87174	80010	176649	0	0	0	132586	294054	56234	0	46051	238835	72438	127483	192848	40498	435657	0	0	0	0	358430.0057	205372.2025	148871.449	141947.493	181237.7401	0	0	0	245180.5291	433861.3125	65992.13823	0	87962.95566	424198.4634	86151.75338	167558.8994	230698.1316	72191.89394	573743.485	0	0	0	0	307309.3746	233095.4186	166283.8809	146123.0872	348670.8538	0	0	0	160263.6719	517717.084	101576.2653	0	57760.67182	376998.5359	92250.3788	210156.3922	364500.6983	61857.33821	468975.1242
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-113	469586	251906	161585	113763	254963	122061	0	92258	196240	0	0	0	131907	304436	96830	0	109582	395738	0	98527	156818	46774	407940	557470.3932	377249.0926	201534.129	200632.2651	398434.7046	153309.3438	0	183741.4791	262190.6357	0	0	0	166290.1851	413710.3534	152779.2806	0	143586.1621	625289.7479	0	141883.6223	252799.7869	47921.16911	715271.6479	835200.4506	316431.1489	309262.8397	208418.985	467855.988	190747.7707	0	130774.76	232162.4592	0	0	0	194318.4137	375317.4512	175916.0449	0	184496.6344	457415.7781	0	116140.1064	253366.6681	55522.53432	518099.6976
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-114	402569	0	0	0	192856	100565	0	109969	227784	0	0	0	160222	335542	66656	0	61448	251236	71974	133204	194620	45566	462679	562729.5896	0	0	0	364210.2232	188247.9276	0	153450.0033	250939.7525	0	0	0	282344.3552	395118.9362	86305.12589	0	109803.577	365887.24	92592.48658	164099.1673	255090.004	84239.59544	655934.9744	748193.3815	0	0	0	272130.365	146991.8895	0	140230.2449	241470.6281	0	0	0	226658.5915	448085.7304	108687.4589	0	100288.0313	369409.7826	76319.32264	224176.3835	212032.0485	85473.22611	566235.5679
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-115	0	0	0	192856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-116	0	0	0	0	0	0	0	53863	123108	29402	63726	28082	69572	196549	0	54695	81321	455342	0	0	122879	0	233735	0	0	0	0	0	0	0	91771.95178	235034.7674	58075.76969	95706.65767	51283.5843	107052.2737	369918.5341	0	102843.5434	159338.9677	901845.3968	0	0	215241.1091	0	306608.2195	0	0	0	0	0	0	0	65346.21782	243717.674	49200.04986	107714.4415	28285.12995	107781.8502	253379.4025	0	82748.30646	147801.7211	902440.0609	0	0	174221.5398	0	304829.3738
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-117	0	0	0	0	244502	124939	87174	80010	176649	0	0	0	132586	294054	56234	0	46051	238835	72438	127483	192848	40498	435657	0	0	0	0	433987.5137	131953.1521	138023.1011	129572.4709	204196.0337	0	0	0	150111.4729	363732.6136	96574.75538	0	89617.24957	408243.1229	137962.0533	209069.3889	203441.0614	52952.92607	510971.2582	0	0	0	0	464807.7037	185824.4931	89047.13907	155547.1164	223244.589	0	0	0	155503.4141	451475.7006	104084.4147	0	64860.86486	350005.6113	120493.752	235178.372	251157.5707	74095.95053	458819.4822
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-118	469586	251906	161585	113763	254963	122061	0	92258	196240	0	0	0	131907	304436	96830	0	109582	395738	0	98527	156818	46774	407940	777787.8474	408858.1204	284226.2246	202701.6979	358567.063	126390.9912	0	122129.1357	342166.7038	0	0	0	153164.9681	487526.6223	118510.8468	0	186320.0079	603995.6046	0	137214.3635	253270.4117	63287.96058	465057.9826	871717.3751	400378.8937	219060.085	193258.2528	334141.4702	213927.308	0	129986.5942	295015.9249	0	0	0	228895.9348	573016.44	112724.1631	0	147856.2798	531679.1753	0	187368.5484	282786.2828	66992.42771	449506.0217
