x	Strain	Group
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-100	yellow	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-101	brown1	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-102	brown4	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-103	blueviolet	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-104	darkcyan	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-105	yellow	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-106	brown1	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-107	brown4	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-108	blueviolet	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-109	darkcyan	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-110	yellow	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-111	brown1	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-112	brown4	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-113	blueviolet	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-114	darkcyan	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-115	yellow	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-116	brown1	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-117	brown4	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-118	blueviolet	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-119	darkcyan	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-120	yellow	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-121	brown1	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-122	brown4	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-123	blueviolet	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-124	darkcyan	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-125	yellow	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-126	brown1	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-127	brown4	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-128	blueviolet	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-129	darkcyan	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_A.d-130	yellow	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_B.d-131	brown1	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_D.d-132	brown4	cornflowerblue
X:\blank_10000_SN0\Blank_A1p_1_01_E.d-133	blueviolet	darkgoldenrod
X:\blank_10000_SN0\Blank_A1p_1_01_F.d-134	darkcyan	darkgoldenrod
